/Users/master/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[214/403] 'scuba diving blog 2026'                         +3 new (total 773)
[215/403] 'scuba diving blog contact us'                   +4 new (total 777)
[216/403] 'best scuba diving blog'                         +2 new (total 779)
[217/403] 'best scuba diving blog write for us'            +0 new (total 779)
[218/403] 'best scuba diving blog 2026'                    +2 new (total 781)
[219/403] 'best scuba diving blog contact us'              +0 new (total 781)
[220/403] 'top scuba diving blog'                          +0 new (total 781)
[221/403] 'top scuba diving blog write for us'             +7 new (total 788)
[222/403] 'top scuba diving blog 2026'                     +0 new (total 788)
[223/403] 'top scuba diving blog contact us'               +0 new (total 788)
[224/403] 'yacht charter blog'                             +8 new (total 796)
[225/403] 'yacht charter blog write for us'                DDG blocked/failed — backing off, will retry
[226/403] 'yacht charter blog 2026'                        +6 new (total 802)
[227/403] 'yacht charter blog contact us'                  +3 new (total 805)
[228/403] 'best yacht charter blog'                        +1 new (total 806)
[229/403] 'best yacht charter blog write for us'           +2 new (total 808)
[230/403] 'best yacht charter blog 2026'                   +2 new (total 810)
[231/403] 'best yacht charter blog contact us'             +1 new (total 811)
[232/403] 'top yacht charter blog'                         +0 new (total 811)
[233/403] 'top yacht charter blog write for us'            DDG blocked/failed — backing off, will retry
[234/403] 'top yacht charter blog 2026'                    DDG blocked/failed — backing off, will retry
[235/403] 'top yacht charter blog contact us'              DDG blocked/failed — backing off, will retry
[236/403] 'mediterranean travel blog'                      +6 new (total 817)
[237/403] 'mediterranean travel blog write for us'         +2 new (total 819)
[238/403] 'mediterranean travel blog 2026'                 +7 new (total 826)
[239/403] 'mediterranean travel blog contact us'           DDG blocked/failed — backing off, will retry
[240/403] 'best mediterranean travel blog'                 DDG blocked/failed — backing off, will retry
[241/403] 'best mediterranean travel blog write for us'    +1 new (total 827)
[242/403] 'best mediterranean travel blog 2026'            +8 new (total 835)
[243/403] 'best mediterranean travel blog contact us'      +42 new (total 877)
[244/403] 'top mediterranean travel blog'                  +1 new (total 878)
[245/403] 'top mediterranean travel blog write for us'     +0 new (total 878)
[246/403] 'top mediterranean travel blog 2026'             DDG blocked/failed — backing off, will retry
[247/403] 'top mediterranean travel blog contact us'       DDG blocked/failed — backing off, will retry
[248/403] 'greek islands travel blog'                      DDG blocked/failed — backing off, will retry
[249/403] 'greek islands travel blog write for us'         DDG blocked/failed — backing off, will retry
[250/403] 'greek islands travel blog 2026'                 DDG blocked/failed — backing off, will retry
[251/403] 'greek islands travel blog contact us'           +7 new (total 885)
[252/403] 'best greek islands travel blog'                 +4 new (total 889)
[253/403] 'best greek islands travel blog write for us'    +2 new (total 891)
[254/403] 'best greek islands travel blog 2026'            +6 new (total 897)
[255/403] 'best greek islands travel blog contact us'      +0 new (total 897)
[256/403] 'top greek islands travel blog'                  +13 new (total 910)
[257/403] 'top greek islands travel blog write for us'     +1 new (total 911)
[258/403] 'top greek islands travel blog 2026'             +1 new (total 912)
[259/403] 'top greek islands travel blog contact us'       +0 new (total 912)
[260/403] 'croatia travel blog'                            DDG blocked/failed — backing off, will retry
[261/403] 'croatia travel blog write for us'               DDG blocked/failed — backing off, will retry
[262/403] 'croatia travel blog 2026'                       DDG blocked/failed — backing off, will retry
[263/403] 'croatia travel blog contact us'                 DDG blocked/failed — backing off, will retry
[264/403] 'best croatia travel blog'                       DDG blocked/failed — backing off, will retry
[265/403] 'best croatia travel blog write for us'          +4 new (total 916)
[266/403] 'best croatia travel blog 2026'                  +6 new (total 922)
[267/403] 'best croatia travel blog contact us'            +0 new (total 922)
[268/403] 'top croatia travel blog'                        +2 new (total 924)
[269/403] 'top croatia travel blog write for us'           +0 new (total 924)
[270/403] 'top croatia travel blog 2026'                   DDG blocked/failed — backing off, will retry
[271/403] 'top croatia travel blog contact us'             DDG blocked/failed — backing off, will retry
[272/403] 'spain travel blog'                              +2 new (total 926)
[273/403] 'spain travel blog write for us'                 +4 new (total 930)
[274/403] 'spain travel blog 2026'                         +4 new (total 934)
[275/403] 'spain travel blog contact us'                   +2 new (total 936)
[276/403] 'best spain travel blog'                         +1 new (total 937)
[277/403] 'best spain travel blog write for us'            +0 new (total 937)
[278/403] 'best spain travel blog 2026'                    +5 new (total 942)
[279/403] 'best spain travel blog contact us'              +0 new (total 942)
[280/403] 'top spain travel blog'                          +0 new (total 942)
[281/403] 'top spain travel blog write for us'             +1 new (total 943)
[282/403] 'top spain travel blog 2026'                     +0 new (total 943)
[283/403] 'top spain travel blog contact us'               DDG blocked/failed — backing off, will retry
[284/403] 'italy travel blog'                              DDG blocked/failed — backing off, will retry
[285/403] 'italy travel blog write for us'                 +31 new (total 974)
[286/403] 'italy travel blog 2026'                         +8 new (total 982)
[287/403] 'italy travel blog contact us'                   +4 new (total 986)
[288/403] 'best italy travel blog'                         +1 new (total 987)
[289/403] 'best italy travel blog write for us'            +1 new (total 988)
[290/403] 'best italy travel blog 2026'                    +2 new (total 990)
[291/403] 'best italy travel blog contact us'              +0 new (total 990)
[292/403] 'top italy travel blog'                          +0 new (total 990)
[293/403] 'top italy travel blog write for us'             +0 new (total 990)
[294/403] 'top italy travel blog 2026'                     +2 new (total 992)
[295/403] 'top italy travel blog contact us'               +3 new (total 995)
[296/403] 'portugal travel blog'                           DDG blocked/failed — backing off, will retry
[297/403] 'portugal travel blog write for us'              DDG blocked/failed — backing off, will retry
[298/403] 'portugal travel blog 2026'                      +4 new (total 999)
[299/403] 'portugal travel blog contact us'                +7 new (total 1006)
[300/403] 'best portugal travel blog'                      +34 new (total 1040)
[301/403] 'best portugal travel blog write for us'         +0 new (total 1040)
[302/403] 'best portugal travel blog 2026'                 +0 new (total 1040)
[303/403] 'best portugal travel blog contact us'           DDG blocked/failed — backing off, will retry
[304/403] 'top portugal travel blog'                       DDG blocked/failed — backing off, will retry
[305/403] 'top portugal travel blog write for us'          +0 new (total 1040)
[306/403] 'top portugal travel blog 2026'                  +0 new (total 1040)
[307/403] 'top portugal travel blog contact us'            +0 new (total 1040)
[308/403] 'caribbean travel blog'                          +35 new (total 1075)
[309/403] 'caribbean travel blog write for us'             +0 new (total 1075)
[310/403] 'caribbean travel blog 2026'                     DDG blocked/failed — backing off, will retry
[311/403] 'caribbean travel blog contact us'               DDG blocked/failed — backing off, will retry
[312/403] 'best caribbean travel blog'                     DDG blocked/failed — backing off, will retry
[313/403] 'best caribbean travel blog write for us'        DDG blocked/failed — backing off, will retry
[314/403] 'best caribbean travel blog 2026'                DDG blocked/failed — backing off, will retry
[315/403] 'best caribbean travel blog contact us'          DDG blocked/failed — backing off, will retry
[316/403] 'top caribbean travel blog'                      DDG blocked/failed — backing off, will retry
[317/403] 'top caribbean travel blog write for us'         DDG blocked/failed — backing off, will retry
